MIDPEL_1,MIDPEL_2,MIDPEL_3,LFEP_1,LFEP_2,LFEP_3,RFEP_1,RFEP_2,RFEP_3,LFEO_1,LFEO_2,LFEO_3,RFEO_1,RFEO_2,RFEO_3,LTIO_1,LTIO_2,LTIO_3,RTIO_1,RTIO_2,RTIO_3,qRPV_1,qRPV_2,qRPV_3,qRPV_4,qLTH_1,qLTH_2,qLTH_3,qLTH_4,qRTH_1,qRTH_2,qRTH_3,qRTH_4,qLSK_1,qLSK_2,qLSK_3,qLSK_4,qRSK_1,qRSK_2,qRSK_3,qRSK_4
0.021,0,1,0.021,0.2,1,0.021,-0.2,1,0.125643201391647,0.2,0.511072806644479,0.509927193355521,-0.2,0.895356798608353,0.125643201391647,0.2,0.0110728066444787,0.509927193355521,-0.2,0.395356798608353,1,0,0,0,0.777588066646889,0,-0.62877404415923,0,0.777588066646889,0,-0.62877404415923,0,1,0,0,0,1,0,0,0
0.022,0,1,0.022,0.2,1,0.022,-0.2,1,0.131791687227481,0.2,0.512203130990222,0.509796869009778,-0.2,0.890208312772519,0.131791687227481,0.2,0.0122031309902216,0.509796869009778,-0.2,0.390208312772519,1,0,0,0,0.780891597616136,0,-0.624666561272907,0,0.780891597616136,0,-0.624666561272907,0,1,0,0,0,1,0,0,0
0.023,0,1,0.023,0.2,1,0.023,-0.2,1,0.137927971017422,0.2,0.51338766818152,0.50961233181848,-0.2,0.885072028982578,0.137927971017422,0.2,0.0133876681815198,0.50961233181848,-0.2,0.385072028982578,1,0,0,0,0.784173431721212,0,-0.620541722193261,0,0.784173431721212,0,-0.620541722193261,0,1,0,0,0,1,0,0,0
0.024,0,1,0.024,0.2,1,0.024,-0.2,1,0.144051481924347,0.2,0.514626286571092,0.509373713428908,-0.2,0.879948518075653,0.144051481924347,0.2,0.0146262865710916,0.509373713428908,-0.2,0.379948518075653,1,0,0,0,0.787433477777232,0,-0.616399641527842,0,0.787433477777232,0,-0.616399641527842,0,1,0,0,0,1,0,0,0
0.025,0,1,0.025,0.2,1,0.025,-0.2,1,0.150161650530693,0.2,0.515918848501171,0.509081151498829,-0.2,0.874838349469307,0.150161650530693,0.2,0.0159188485011706,0.509081151498829,-0.2,0.374838349469307,1,0,0,0,0.790671645204691,0,-0.612240434363255,0,0.790671645204691,0,-0.612240434363255,0,1,0,0,0,1,0,0,0
0.026,0,1,0.026,0.2,1,0.026,-0.2,1,0.156257908901733,0.2,0.517265210318805,0.508734789681195,-0.2,0.869742091098267,0.156257908901733,0.2,0.0172652103188047,0.508734789681195,-0.2,0.369742091098267,1,0,0,0,0.793887844031972,0,-0.608064216261956,0,0.793887844031972,0,-0.608064216261956,0,1,0,0,0,1,0,0,0
0.027,0,1,0.027,0.2,1,0.027,-0.2,1,0.162339690648697,0.2,0.518665222391821,0.508334777608179,-0.2,0.864660309351303,0.162339690648697,0.2,0.0186652223918211,0.508334777608179,-0.2,0.364660309351303,1,0,0,0,0.797081984897851,0,-0.603871103259051,0,0.797081984897851,0,-0.603871103259051,0,1,0,0,0,1,0,0,0
0.028,0,1,0.028,0.2,1,0.028,-0.2,1,0.168406430991723,0.2,0.520118729125457,0.507881270874543,-0.2,0.859593569008277,0.168406430991723,0.2,0.020118729125457,0.507881270874543,-0.2,0.359593569008277,1,0,0,0,0.800253979053977,0,-0.599661211859061,0,0.800253979053977,0,-0.599661211859061,0,1,0,0,0,1,0,0,0
0.029,0,1,0.029,0.2,1,0.029,-0.2,1,0.174457566822621,0.2,0.521625568979651,0.507374431020349,-0.2,0.854542433177379,0.174457566822621,0.2,0.021625568979651,0.507374431020349,-0.2,0.354542433177379,1,0,0,0,0.803403738367343,0,-0.595434659032692,0,0.803403738367343,0,-0.595434659032692,0,1,0,0,0,1,0,0,0
0.03,0,1,0.03,0.2,1,0.03,-0.2,1,0.180492536767459,0.2,0.523185574486997,0.506814425513003,-0.2,0.849507463232541,0.180492536767459,0.2,0.0231855744869972,0.506814425513003,-0.2,0.349507463232541,1,0,0,0,0.806531175322727,0,-0.591191562213586,0,0.806531175322727,0,-0.591191562213586,0,1,0,0,0,1,0,0,0
0.031,0,1,0.031,0.2,1,0.031,-0.2,1,0.186510781248951,0.2,0.524798572271357,0.506201427728643,-0.2,0.844489218751049,0.186510781248951,0.2,0.0247985722713568,0.506201427728643,-0.2,0.344489218751049,1,0,0,0,0.809636203025131,0,-0.586932039295052,0,0.809636203025131,0,-0.586932039295052,0,1,0,0,0,1,0,0,0
0.032,0,1,0.032,0.2,1,0.032,-0.2,1,0.192511742548648,0.2,0.526464383067127,0.505535616932873,-0.2,0.839488257451352,0.192511742548648,0.2,0.0264643830671272,0.505535616932873,-0.2,0.339488257451352,1,0,0,0,0.812718735202191,0,-0.582656208626795,0,0.812718735202191,0,-0.582656208626795,0,1,0,0,0,1,0,0,0
