gfr_acc_MP_act_1,gfr_acc_MP_act_2,gfr_acc_MP_act_3,gfr_acc_LA_act_1,gfr_acc_LA_act_2,gfr_acc_LA_act_3,gfr_acc_RA_act_1,gfr_acc_RA_act_2,gfr_acc_RA_act_3,bIsStatMP,bIsStatLA,bIsStatRA,qPelvisEst_1,qPelvisEst_2,qPelvisEst_3,qPelvisEst_4,qLankleEst_1,qLankleEst_2,qLankleEst_3,qLankleEst_4,qRankleEst_1,qRankleEst_2,qRankleEst_3,qRankleEst_4
-3.12250225675825e-15,0,0,-0.0561746828286941,0,0.191993899399134,-0.191993899399134,0,0.0561746828284693,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-2.08166817117217e-16,0,0,-0.0581955728350886,0,0.191391033488447,-0.191391033488344,0,0.0581955728351918,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3.12250225675826e-15,0,0,-0.0602099950927333,0,0.190766896730766,-0.190766896730766,0,0.0602099950929081,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-5.82867087928207e-15,0,0,-0.062217725722411,0,0.190121558491603,-0.190121558491712,0,0.0622177257223028,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.0642185415885702,0,0.189455090492629,-0.189455090492729,0,0.0642185415885453,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.03683769639929e-15,0,0,-0.0662122203243865,0,0.188767566803959,-0.188767566803953,0,0.0662122203244164,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-6.24500451351651e-15,0,0,-0.0681985403560265,0,0.188059063835455,-0.188059063835355,0,0.0681985403560015,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-6.24500451351651e-15,0,0,-0.070177280927447,0,0.187329660328961,-0.187329660328961,0,0.070177280927497,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.24500451351651e-15,0,0,-0.0721482221250958,0,0.186579437349321,-0.186579437349221,0,0.0721482221252456,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.24500451351651e-15,0,0,-0.0741111449022919,0,0.185808478274341,-0.185808478274391,0,0.074111144902167,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.0760658311033419,0,0.18501686878738,-0.18501686878758,0,0.0760658311030671,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.078012063487945,0,0.184204696866663,-0.184204696866563,0,0.0780120634880199,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.0799496257555987,0,0.183372052774988,-0.183372052774838,0,0.0799496257558485,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-6.24500451351651e-15,0,0,-0.08187830256908,0,0.182519029051031,-0.182519029051081,0,0.081878302569105,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-6.24500451351651e-15,0,0,-0.0837978795788008,0,0.181645720498558,-0.181645720498658,0,0.0837978795786509,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.24500451351651e-15,0,0,-0.085708143446564,0,0.180752224175329,-0.180752224175379,0,0.0857081434464391,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.24500451351651e-15,0,0,-0.0876088818689946,0,0.179838639382712,-0.179838639382662,0,0.0876088818690946,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.0894998836017458,0,0.178905067654889,-0.178905067654839,0,0.0894998836018957,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-6.03683769639929e-15,0,0,-0.0913809384824882,0,0.177951612747447,-0.177951612747454,0,0.0913809384824832,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.0932518374538502,0,0.176978380625669,-0.176978380625619,0,0.0932518374539001,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.03683769639929e-15,0,0,-0.0951123725876746,0,0.175985479452405,-0.175985479452448,0,0.0951123725876296,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-6.24500451351651e-15,0,0,-0.0969623371076811,0,0.174973019577052,-0.174973019577252,0,0.0969623371075312,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-6.24500451351651e-15,0,0,-0.0988015254121844,0,0.173941113523046,-0.173941113522897,0,0.0988015254120845,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.24500451351651e-15,0,0,-0.100629733097124,0,0.172889875973836,-0.172889875973586,0,0.100629733097124,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6.24500451351651e-15,0,0,-0.10244675697878,0,0.171819423761765,-0.171819423761965,0,0.10244675697888,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.104252395116639,0,0.170729875855868,-0.170729875855868,0,0.104252395116788,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.106046446835323,0,0.169621353346283,-0.169621353346033,0,0.106046446835373,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,-0.107828712747227,0,0.168493979431361,-0.168493979431561,0,0.107828712747127,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
